Time,ID,Temperature,Humidity,xpos,ypos
2024-03-26T15:18:52.966764108Z,1,23.083,34,10,10
2024-03-28T09:38:33.199850988Z,2,17.817,64,10,10
2024-03-28T09:48:33.379612121Z,3,21.951,52,10,10
2024-03-28T10:08:33.256007597Z,4,23.962,36,10,10
2024-03-28T10:28:33.322532406Z,5,21.479,37,10,10
2024-03-28T10:38:33.348666818Z,6,23.928,34,10,10
2024-03-28T10:48:33.370225762Z,7,21.433,37,10,10
2024-03-28T10:58:33.386077761Z,8,24.235,33,10,10
2024-03-28T11:08:33.416900770Z,9,25.656,32,10,10
2024-03-28T11:28:33.457020448Z,10,22.559,35,10,10
2024-03-28T11:39:17.077072710Z,11,18.679,42,10,10
2024-03-28T11:49:17.148637887Z,12,19.207,40,10,10
2024-03-28T11:59:17.147885281Z,13,21.854,35,10,10
2024-03-28T12:09:26.157369236Z,14,20.204,37,10,10
2024-03-28T12:19:17.173237001Z,15,18.066,41,10,10
2024-03-28T12:29:27.778801049Z,16,18.555,40,10,10
2024-03-28T12:39:26.999606183Z,17,18.862,38,10,10
2024-03-28T12:49:17.247688308Z,18,18.512,38,10,10
2024-03-28T12:59:17.265232813Z,19,17.793,40,10,10
2024-03-28T13:19:17.339001744Z,20,17.846,41,10,10
2024-03-28T13:39:17.377490346Z,21,17.16,42,10,10
2024-03-28T13:49:17.393939043Z,22,17.21,42,10,10
2024-03-28T13:59:17.415628127Z,23,17.319,43,10,10
2024-03-28T14:09:17.440715173Z,24,17.655,42,10,10
2024-03-28T14:19:17.468488154Z,25,18.2,41,10,10
2024-03-28T14:29:17.495228916Z,26,18.6,41,10,10
2024-03-28T14:39:17.536612159Z,27,17.717,42,10,10
2024-03-28T14:49:17.538150947Z,28,17.462,43,10,10
2024-03-28T14:59:17.561304909Z,29,17.278,44,10,10
2024-03-28T15:09:17.581126049Z,30,17.184,44,10,10
2024-03-28T15:19:17.611274056Z,31,17.045,46,10,10
2024-03-28T15:29:17.634601451Z,32,17.201,45,10,10
2024-03-28T15:39:17.653946520Z,33,22.737,33,10,10
2024-03-28T15:49:17.687612664Z,34,17.132,46,10,10
2024-03-28T15:59:17.713650381Z,35,16.334,49,10,10
2024-03-28T16:09:17.749614070Z,36,16.484,48,10,10
2024-03-28T16:19:17.753720020Z,37,16.496,47,10,10
2024-03-28T16:29:17.782294698Z,38,16.213,49,10,10
2024-03-28T16:39:17.806827769Z,39,16.071,50,10,10
2024-03-28T16:59:17.889629158Z,40,15.91,51,10,10
2024-03-28T17:09:17.915412989Z,41,15.827,52,10,10
2024-03-28T17:19:17.946347546Z,42,15.788,51,10,10
2024-03-28T17:29:17.984437498Z,43,15.783,51,10,10
2024-03-28T17:49:18.041522129Z,44,15.616,52,10,10
2024-03-28T17:59:18.045759337Z,45,15.546,53,10,10
2024-03-28T18:09:18.063927322Z,46,15.174,58,10,10
2024-03-28T18:19:18.087911171Z,47,14.938,59,10,10
2024-03-28T18:29:18.114573443Z,48,14.564,66,10,10
2024-03-28T18:39:18.143926992Z,49,12.893,82,10,10
2024-03-28T18:49:18.164141355Z,50,12.047,93,10,10
2024-03-28T18:59:18.184347393Z,51,11.341,99,10,10
2024-03-28T19:09:18.217995168Z,52,11.293,99,10,10
2024-03-28T19:19:18.243529579Z,53,11.222,99,10,10
